lab_subject_id,eng_exposure,eng_ws_produced,fr_exposure,fr_ws_produced,dataset_name
Subject_1,55,31,45,28,byers-heinlein_2017
Subject_2,74,129,26,333,byers-heinlein_2017
Subject_3,54.5,90,45.5,55,byers-heinlein_2017
Subject_4,50,206,50,210,byers-heinlein_2017
Subject_5,63.5,94,36.5,32,byers-heinlein_2017
Subject_6,73,NA,27,NA,byers-heinlein_2017
Subject_7,68.5,6,31.5,NA,byers-heinlein_2017
Subject_8,50,135,50,95,byers-heinlein_2017
Subject_9,60,44,40,35,byers-heinlein_2017
Subject_10,43.5,8,56.5,25,byers-heinlein_2017
Subject_11,62,46,38,22,byers-heinlein_2017
Subject_12,48,44,52,133,byers-heinlein_2017
Subject_13,42,4,58,2,byers-heinlein_2017
Subject_14,38,209,62,194,byers-heinlein_2017
Subject_15,32,26,68,282,byers-heinlein_2017
Subject_16,62,96,38,44,byers-heinlein_2017
Subject_17,56,75,43,14,byers-heinlein_2017
Subject_18,63,23,37,8,byers-heinlein_2017
Subject_19,69,43,31,16,byers-heinlein_2017
Subject_20,40,59,60,144,byers-heinlein_2017
Subject_21,47,30,53,108,byers-heinlein_2017
Subject_22,30.73,65,69.28,57,byers-heinlein_2017
Subject_23,67,72,33,20,byers-heinlein_2017
Subject_24,37,36,63,191,byers-heinlein_2017
Subject_49,50,45,50,51,byers-heinlein_2017
Subject_50,49,76,51,107,byers-heinlein_2017
Subject_51,27,12,59,49,byers-heinlein_2017
Subject_52,62,57,38,17,byers-heinlein_2017
Subject_53,48,51,52,248,byers-heinlein_2017
Subject_54,67,18,29,24,byers-heinlein_2017
Subject_55,70,33,30,18,byers-heinlein_2017
Subject_56,61,49,39,36,byers-heinlein_2017
Subject_57,31,55,69,114,byers-heinlein_2017
Subject_58,53,23,47,20,byers-heinlein_2017
Subject_59,62,234,38,89,byers-heinlein_2017
Subject_60,43,81,57,0,byers-heinlein_2017
Subject_61,63,168,37,138,byers-heinlein_2017
Subject_62,39,59,61,203,byers-heinlein_2017
Subject_63,27,20,74,112,byers-heinlein_2017
Subject_64,66,50,34,26,byers-heinlein_2017
Subject_65,32,14,68,48,byers-heinlein_2017
Subject_66,67,37,33,37,byers-heinlein_2017
Subject_67,64,36,36,51,byers-heinlein_2017
Subject_68,57,454,43,236,byers-heinlein_2017
Subject_69,73,237,27,85,byers-heinlein_2017
Subject_70,43,136,57,176,byers-heinlein_2017
Subject_71,66,188,34,0,byers-heinlein_2017
Subject_72,49,26,51,0,byers-heinlein_2017
