dataset_name,lab_subject_id,eng_wg_understood,eng_wg_produced
garrison_bergelson_2020,y31,289,25
garrison_bergelson_2020,y34,238,36
garrison_bergelson_2020,y36,335,89
garrison_bergelson_2020,y32,240,4
garrison_bergelson_2020,y33,98,20
garrison_bergelson_2020,y25,61,6
garrison_bergelson_2020,y26,129,0
garrison_bergelson_2020,y27,283,137
garrison_bergelson_2020,y23,244,105
garrison_bergelson_2020,y22,33,1
garrison_bergelson_2020,y40,107,8
garrison_bergelson_2020,y39,47,0
garrison_bergelson_2020,y41,93,17
garrison_bergelson_2020,y1,203,9
garrison_bergelson_2020,y3,194,43
garrison_bergelson_2020,y4,168,16
garrison_bergelson_2020,y5,62,14
garrison_bergelson_2020,y6,241,11
garrison_bergelson_2020,y8,7,1
garrison_bergelson_2020,y9,259,66
garrison_bergelson_2020,y11,189,37
garrison_bergelson_2020,y12,17,0
garrison_bergelson_2020,y13,183,1
garrison_bergelson_2020,y15,295,89
garrison_bergelson_2020,y16,33,5
garrison_bergelson_2020,y17,67,9
garrison_bergelson_2020,y18,121,4
garrison_bergelson_2020,y19,48,12
garrison_bergelson_2020,y20,59,0
garrison_bergelson_2020,y21,28,5
garrison_bergelson_2020,y24,125,2
garrison_bergelson_2020,y28,25,9
garrison_bergelson_2020,y42,0,0
garrison_bergelson_2020,y37,202,20
garrison_bergelson_2020,y29,88,0
garrison_bergelson_2020,y30,125,7
garrison_bergelson_2020,y35,140,3
