lab_subject_id,eng_wsshort_produced,dataset_name
01,81,mahr_coartic
02,30,mahr_coartic
03,34,mahr_coartic
04,14,mahr_coartic
05,71,mahr_coartic
06,11,mahr_coartic
07,20,mahr_coartic
08,53,mahr_coartic
09,8,mahr_coartic
10,52,mahr_coartic
11,83,mahr_coartic
12,19,mahr_coartic
13,84,mahr_coartic
14,51,mahr_coartic
15,NA,mahr_coartic
16,6,mahr_coartic
17,44,mahr_coartic
18,30,mahr_coartic
19,42,mahr_coartic
20,42,mahr_coartic
21,6,mahr_coartic
22,8,mahr_coartic
23,58,mahr_coartic
24,13,mahr_coartic
25,NA,mahr_coartic
26,35,mahr_coartic
27,73,mahr_coartic
28,55,mahr_coartic
29,16,mahr_coartic
30,26,mahr_coartic
31,27,mahr_coartic
32,56,mahr_coartic
33,66,mahr_coartic
34,79,mahr_coartic
35,NA,mahr_coartic
36,66,mahr_coartic
37,28,mahr_coartic
38,53,mahr_coartic
39,7,mahr_coartic
40,69,mahr_coartic
